time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
77,0.077,17.8876,-153.79,-156.501,-2.7112,-12.9536,-0.000799111,7.84884e-05,0.0192664,0.00059034
78,0.078,17.7366,-148.235,-151.022,-2.78675,-13.1046,-0.000808427,7.89268e-05,0.0193781,0.000573723
79,0.079,17.5912,-142.534,-145.394,-2.85954,-13.25,-0.000817394,7.93326e-05,0.0194851,0.000554671
80,0.08,17.4515,-136.692,-139.622,-2.92952,-13.3896,-0.000826004,7.97082e-05,0.0195875,0.000531882
81,0.081,17.3178,-130.716,-133.712,-2.9966,-13.5233,-0.000834249,8.00561e-05,0.0196852,0.000505045
82,0.082,17.1902,-124.61,-127.671,-3.06072,-13.651,-0.000842121,8.03793e-05,0.0197782,0.000475134
83,0.083,17.0687,-118.381,-121.503,-3.12183,-13.7725,-0.000849613,8.06807e-05,0.0198663,0.000444558
84,0.084,16.9534,-112.036,-115.216,-3.17985,-13.8877,-0.000856716,8.09633e-05,0.0199495,0.000417046
85,0.085,16.8446,-105.58,-108.815,-3.23473,-13.9965,-0.000863425,8.12297e-05,0.0200277,0.000397022
86,0.086,16.7423,-99.0196,-102.306,-3.28643,-14.0988,-0.000869733,8.14821e-05,0.0201007,0.000388188
87,0.087,16.6466,-92.3616,-95.6965,-3.33488,-14.1945,-0.000875633,8.17227e-05,0.0201686,0.000391706
88,0.088,16.5576,-85.6125,-88.9926,-3.38004,-14.2835,-0.00088112,8.19527e-05,0.0202314,0.000405282
89,0.089,16.4754,-78.779,-82.2008,-3.42186,-14.3657,-0.000886189,8.21729e-05,0.020289,0.000424035
90,0.09,16.4001,-71.8676,-75.3279,-3.46031,-14.441,-0.000890833,8.23834e-05,0.0203416,0.000442297
91,0.091,16.3317,-64.8854,-68.3807,-3.49534,-14.5094,-0.00089505,8.25835e-05,0.0203893,0.00045504
92,0.092,16.2704,-57.8391,-61.366,-3.52692,-14.5708,-0.000898834,8.27718e-05,0.0204322,0.000458564
93,0.093,16.2161,-50.7358,-54.2908,-3.55502,-14.625,-0.000902182,8.29459e-05,0.0204703,0.00045073
94,0.094,16.1689,-43.5824,-47.162,-3.57961,-14.6722,-0.000905091,8.31032e-05,0.0205036,0.00043104
95,0.095,16.1289,-36.3859,-39.9866,-3.60067,-14.7122,-0.000907557,8.32402e-05,0.020532,0.000400751
96,0.096,16.0962,-29.1536,-32.7718,-3.61818,-14.745,-0.000909578,8.33535e-05,0.0205554,0.000363136
97,0.097,16.0706,-21.8925,-25.5246,-3.63212,-14.7705,-0.000911152,8.34398e-05,0.0205738,0.000323946
98,0.098,16.0524,-14.6098,-18.2523,-3.64247,-14.7887,-0.000912277,8.34962e-05,0.0205869,0.000291779
99,0.099,16.0414,-7.31274,-10.962,-3.64923,-14.7997,-0.000912954,8.35203e-05,0.0205947,0.000276791
100,0.1,16.0378,-0.00843224,-3.66081,-3.65238,-14.8034,-0.00091318,8.35109e-05,0.0205971,0.000285412
101,0.101,16.0414,7.29588,3.64395,-3.65193,-14.7997,-0.000912954,8.34676e-05,0.0205942,0.000314941
102,0.102,16.0523,14.593,10.9451,-3.64788,-14.7888,-0.00091228,8.33913e-05,0.020586,0.000356086
103,0.103,16.0706,21.8757,18.2355,-3.64023,-14.7705,-0.000911154,8.32838e-05,0.0205726,0.000399216
104,0.104,16.0961,29.1368,25.5078,-3.62898,-14.745,-0.000909579,8.31476e-05,0.0205541,0.00043713
105,0.105,16.1288,36.3692,32.755,-3.61415,-14.7123,-0.000907557,8.2986e-05,0.0205308,0.000465099
106,0.106,16.1688,43.5656,39.9698,-3.59576,-14.6723,-0.00090509,8.28026e-05,0.0205027,0.000480427
